Albanian,sq,A nuk e lexoni dënim tjetër,Unë nuk mund ta duroj kur një dënimi nuk ka fund në mënyrën që ju mendoni se oktapod,"Disa njerëz janë si retë, kur ata të shkojnë larg, dita merr ndritshme","Në qoftë se ju ia ngul sytë në këtë dhe goditje mjekër tuaj, ju mund të duket i zgjuar dhe të kulturuar","Nëse ju jeni duke kërkuar për një shenjë, kjo është ajo",A nuk është e çuditshme se çdo gjë tingëllon më mirë në gjuhë të huaj?,Zogu në fillim merr rra,"Unë nuk e di gjëja më e mirë për Zvicrën, por flamuri i tyre është një plus i madh"
Arabic,ar,لا تقرأ الجملة التالية,أنا لا يمكن الوقوف عليه عندما لا تنتهي حكما الطريقة التي أعتقد أنه الأخطبوط,بعض الناس مثل الغيوم، وعندما يذهبون بعيدا، واليوم يحصل على أكثر إشراقا,إذا كنت التحديق في ذلك والسكتة الدماغية ذقنك، قد تظهر ذكي ومثقف,إذا كنت تبحث عن علامة، وهذا هو,أليس من العجيب أن كل شيء يبدو أفضل في لغة أجنبية؟,الطائر المبكر يحصل الدودة,أنا لا أعرف أفضل شيء عن سويسرا، ولكن علمها هو زائد كبيرة
Armenian,hy,Չեն կարդալ հաջորդ նախադասությունը,"Ես չեմ կարող կանգնել այն ժամանակ, երբ մի նախադասություն չի ավարտվում ճանապարհը կարծում եք, որ դա ութոտնուկ","Որոշ մարդիկ նման են ամպերի, երբ նրանք հեռու գնալ, որ օր ստանում պայծառ","Եթե ​​դուք զարմացած հայացք այս եւ ինսուլտի ձեր կզակ, դուք կարող եք հայտնվում խելացի եւ կուլտուրական","Եթե ​​դուք փնտրում են մի նշան, սա այն","Չէ որ դա տարօրինակ է, որ ամեն ինչ հնչում է ավելի լավ է օտար լեզվով:",Վաղ արթնանալ,"Ես չգիտեմ, թե ամենալավ բանը Շվեյցարիայում, բայց նրանց դրոշը մի մեծ պլյուս"
Azerbaijani,az,növbəti cümlə oxumaq etməyin,bir cümlə Siz ahtapot düşünməyə yol bitmir mən bunu dayanmaq bilməz,"Bəzi insanlar onlar getmək zaman, gün parlaq olur, bulud kimi","Bu nəzər və əgər stroke sizin chin, siz ağıllı və mədəni görünür","Bir işarə axtarır varsa, bu deyil","hər şey bir xarici dildə yaxşı səslənir ki, qəribə deyilmi?",erkən quş qurd olur,"Mən İsveçrə haqqında ən yaxşı şey bilmirəm, lakin onların bayraq böyük bir artı"
Bengali,bn,পরের বাক্য পড়া না,আমি এটা সহ্য করতে পারছি না যখন একটি বাক্য উপায় আপনি এটা অক্টোপাস মনে শেষ নেই,"কিছু মানুষ, মেঘের মত যখন তারা চলে যান, দিন উজ্জ্বল পায়","আপনি এই দিকে তাকিয়ে এবং যদি স্ট্রোক আপনার চিবুক, আপনি বুদ্ধিমান এবং সংস্কৃতিবান প্রদর্শিত হতে পারে","যদি তুমি কোন নিদর্শন খুঁজছেন সেটা যদি, এই হল",না এটা অদ্ভুত যে সবকিছু একটি বিদেশী ভাষায় ভাল শোনাচ্ছে?,ভোরের পাখি কীট পায়,"আমি সুইজারল্যান্ড সম্পর্কে ভাল জিনিস জানি না, কিন্তু তাদের পতাকা একটি বড় প্লাস"
Bulgarian,bg,Не четете следващото изречение,"Не мога да го понасям, когато едно изречение не свършва така, както го октопод мисля","Някои хора са като облаци, когато си отиде, денят става по-ярко","Ако се взират в този и инсулт брадичката си, може да се появи интелигентен и култивирани","Ако се търси знак, това е","Не е ли странно, че всичко, което звучи по-добре на чужд език?",Рано пиле рано червея,"Аз не знам най-доброто нещо за Швейцария, но тяхното знаме е голям плюс"
Burmese,my,လာမည့်ဝါကျဖတ်မနေပါနဲ့,တစ်ဝါကျသင်ကရေဘဝဲတစ်ကောင်လို့ထင်တဲ့လမ်းမဆုံးပါဘူးသောအခါငါကမခံမရပ်နိုင်,"အချို့လူများကသူတို့သွားရသောအခါ, ထိုနေ့ရက်သည်တောက်ပရရှိသွားတဲ့, မိုဃ်းတိမ်ကိုစီးကဲ့သို့ဖြစ်ကြ၏",သင်သည်သင်၏မေးစေ့ကဒီစေ့စေ့နဲ့လေဖြတ်လျှင်သင်အသိဉာဏ်နှင့်ယဉ်ကျေးမှုထင်ရှားစေခြင်းငှါ,"သင်တစ်ဦးသည်နိမိတ်လက္ခဏာကိုရှာဖွေနေကြသည်မှန်လျှင်, ဒီက",ဒါကြောင့်အရာခပ်သိမ်းတဲ့နိုင်ငံခြားဘာသာစကားအတွက်ပိုကောင်းတဲ့အသံကြောင့်လိုက်တယ်သည်မဟုတ်လော,အစောပိုင်းငှက်တီကောင်ရရှိသွားတဲ့,"ငါဆွစ်ဇာလန်နိုင်ငံ ပတ်သက်. အကောင်းဆုံးအရာမသိရပါဘူး, ဒါပေမဲ့သူတို့ရဲ့အလံကြီးမားတဲ့ပေါင်းသည်"
Catalan,ca,No llegiu la següent frase,No puc suportar que una sentència no acaba la manera que considera que el pop,"Algunes persones són com els núvols, quan se&#39;n van, el dia es fa més brillant","Si vostè mira en aquest i els accidents cerebrovasculars de la barbeta, que pot semblar intel·ligent i culte","Si estaves buscant un senyal, això és ell",¿No és estrany que tot sona millor en un idioma estranger?,L&#39;ocell d&#39;hora aconsegueix el cuc,"No sé el millor de Suïssa, però la seva bandera és un gran avantatge"
Croatian,hr,Nemojte čitati sljedeću rečenicu,Ne mogu podnijeti kad kazna ne završava onako kako je to hobotnica razmišljanje,"Neki ljudi su kao oblak, kad odem, dan postaje svjetlija","Ako buljiti u to i moždani udar brada, možda pojaviti inteligentan i kulturan","Ako ste bili u potrazi za znak, to je to",Nije li čudno da je sve bolje zvuči na stranom jeziku?,Tko rano rani dvije sreće grabi,"Ne znam najbolja stvar o Švicarskoj, ali njihova zastava je veliki plus"
Czech,cs,Nečtěte následující větu,"Nemůžu vystát, když trest nekončí tak, jak si to myslet chobotnice","Někteří lidé jsou jako mraky, když jdou pryč, ten den bude světlejší","Pokud se díváme na to a mrtvice bradu, může se objevit inteligentní a kultivovaný","Pokud jste hledali znamení, to je ono","Není to divné, že všechno, co zní lépe v cizím jazyce?",Ranní ptáče dostane červa,"Nevím, nejlepší věc, o Švýcarsku, ale jejich vlajka je velké plus"
Danish,da,Må ikke læse den næste sætning,"Jeg kan ikke holde det, når en sætning ikke slutter den måde du tænker det blæksprutte","Nogle mennesker er som skyer, når de går væk, dagen bliver lysere","Hvis du kigger på dette og slagtilfælde hagen, kan du synes intelligent og kultiveret","Hvis du søgte et tegn, er det","Er det ikke underligt, at alt lyder bedre på et fremmed sprog?",Den tidlige fugl får ormen,"Jeg kender ikke den bedste ting at vide om Schweiz, men deres flag er et stort plus"
Dhivehi,dv,,,,,,,,
Dutch,nl,Lees de volgende zin niet,Ik kan er niet tegen als een zin niet de manier waarop je het octopus denkt eindigt,"Sommige mensen zijn als wolken, als ze weggaan, de dag helderder","Als je staren op deze en beroerte je kin, kunt u intelligent en beschaafd verschijnen","Als u op zoek naar een teken, dit is het",Is het niet raar dat alles klinkt beter in een vreemde taal?,De vroege vogel krijgt de worm,"Ik weet niet het beste ding over Zwitserland, maar hun vlag is een groot pluspunt"
Dzongkha,dz,,,,,,,,
English,en,Do not read the next sentence,I cannot stand it when a sentence does not end the way you think it octopus,"Some people are like clouds, when they go away, the day gets brighter","If you stare at this and stroke your chin, you may appear intelligent and cultured","If you were looking for a sign, this is it",Isn't it weird that everything sounds better in a foreign language?,The early bird catches the worm,"I don't know the best thing about Switzerland, but their flag is a big plus"
Estonian,et,Ära loe järgmine lause,"Ma ei suuda seda taluda, kui lause ei lõpe nii, nagu te arvate, kaheksajalad","Mõned inimesed on nagu pilved, kui nad minema, päev muutub heledamaks","Kui te vahtima seda ja insuldi oma lõua, siis võib tunduda, intelligentne ja kultiveeritud","Kui sa olid otsivad märk, see on see","Kas pole imelik, et kõik kõlab paremini võõrkeeles?",Varajane lind uss,"Ma ei tea, on parim asi Šveitsis, kuid nende lipp on suur pluss"
Filipino,,,,,,,,,
Finnish,fi,Älä lue seuraavassa lauseessa,"En kestä sitä, kun lause ei lopeta niin kuin sen mustekala","Jotkut ihmiset ovat kuin pilvet, kun he menevät pois, päivä on kirkas","Jos tuijottaa tämän ja aivohalvaus leukaa, et voi näkyä älykäs ja viljeltiin","Jos etsit merkki, tämä on se","Eikö ole outoa, että kaikki kuulostaa paremmalta vieraalla kielellä?",Aikainen lintu saa madon,"En tiedä parasta Sveitsissä, mutta niiden lipun on iso plussa"
French,fr,Ne pas lire la phrase suivante,Je ne supporte pas quand une phrase ne se termine pas la façon dont vous pensez que ce poulpe,"Certaines personnes sont comme des nuages, quand ils disparaissent, le jour devient plus lumineux","Si vous regardez fixement cette course et votre menton, vous peut apparaître intelligent et cultivé","Si vous recherchez un signe, ce qu&#39;il est",Est-il pas étrange que tout sonne mieux dans une langue étrangère?,L&#39;oiseau tôt obtient le ver,"Je ne sais pas la meilleure chose à propos de la Suisse, mais leur drapeau est un gros plus"
Georgian,ka,არ წაიკითხოთ მომდევნო წინადადება,"მე ვერ იტანს, როცა განაჩენი არ დამთავრდება, თქვენ ფიქრობთ, რომ octopus","ზოგიერთი ადამიანი, როგორიცაა ღრუბლები, როდესაც ისინი მიდიან, დღეში იღებს ნათელი","თუ სახლიდან და ინსულტის თქვენი chin, თქვენ შეიძლება, როგორც ჩანს, ინტელექტუალური და კულტურული","თუ თქვენ ეძებს ნიშანს, ეს არის ის,","არ არის ეს უცნაური, რომ ყველაფერი უკეთესად ჟღერს უცხო ენაზე?",ადრეული ფრინველის იღებს ჭია,"მე არ ვიცი, საუკეთესო რამ შესახებ შვეიცარიაში, მაგრამ მათი დროშა არის დიდი პლუს"
German,de,Sie nicht den nächsten Satz lesen,"Ich kann es nicht ertragen, wenn ein Satz nicht so, wie Sie denken, es endet Krake","Einige Leute sind wie Wolken, wenn sie weggehen, der Tag wird heller","Wenn Sie an dieser starren und Schlaganfall Kinn, können Sie intelligent und kultiviert erscheinen","Wenn Sie ein Zeichen waren auf der Suche, das ist es","Ist es nicht seltsam, dass alles, was klingt besser in einer fremden Sprache?",Morgenstund hat Gold im Mund,"Ich weiß nicht, das Beste, was über die Schweiz, aber ihre Flagge ist ein großes Plus"
Greek,el,Μην διαβάζετε την επόμενη φράση,"Δεν μπορώ να το αντέξω, όταν μια πρόταση δεν τελειώνει με τον τρόπο που το χταπόδι σκεφτείτε","Μερικοί άνθρωποι είναι σαν τα σύννεφα, όταν πάνε μακριά, η μέρα γίνεται πιο φωτεινή","Αν κοιτάς αυτό και το εγκεφαλικό επεισόδιο το πηγούνι σας, μπορεί να εμφανιστεί έξυπνη και καλλιεργούνται","Αν ψάχνατε για ένα σημάδι, αυτό είναι",Δεν είναι περίεργο ότι τα πάντα ακούγεται καλύτερα σε μια ξένη γλώσσα;,Το πρόωρο πουλί παίρνει το σκουλήκι,"Δεν ξέρω το καλύτερο πράγμα για την Ελβετία, αλλά η σημαία τους είναι ένα μεγάλο συν"
Hebrew,he,אל תקראו את המשפט הבא,אני לא יכול לסבול את זה כאשר משפט אינו מסיים את הדרך בה אתה חושב שזה תמנון,"יש אנשים שהם כמו עננים, כאשר הם נעלמים, היום נעשה בהיר יותר","אם אתה בוהה זה ושבץ הסנטר שלך, אתה עשוי להופיע אינטליגנטי ותרבותי","אם היית מחפש סימן, זהו זה",אין זה מוזר שהכל נשמע יותר טוב בשפה זרה?,ציפור מוקדם מקבלת את התולעת,"אני לא מכיר את הדבר הטוב ביותר על שווייץ, אבל הדגל שלהם הוא גדול פלוס"
Hindi,hi,अगला वाक्य न पढ़ें,मैं यह बर्दाश्त नहीं कर सकते हैं जब एक वाक्य तरह से आप यह ऑक्टोपस लगता है अंत नहीं है,"कुछ लोग, बादलों की तरह कर रहे हैं जब वे चले जाओ, दिन उज्जवल हो जाता है","आप इस पर टकटकी और अगर स्ट्रोक अपनी ठोड़ी, आप बुद्धिमान और सुसंस्कृत प्रकट हो सकता है","आप एक संकेत देख रहे थे, तो यह बात है",नहीं यह अजीब है कि सब कुछ एक विदेशी भाषा में बेहतर लग रहा है?,जल्दी पक्षी कीड़ा हो जाता है,"मैं स्विट्जरलैंड के बारे में सबसे अच्छी बात पता नहीं है, लेकिन उनके ध्वज एक बड़ा धन है"
Hungarian,hu,Ne olvassa el a következő mondat,"Nem bírom, ha egy mondat nem ér véget, ahogy gondolja, hogy a polip","Néhány ember olyan, mint a felhők, amikor elmennek, a nap egyre fényesebb","Ha bámulni ezt és a stroke az álla, akkor megjelenik az intelligens és művelt","Ha kerestek egy jel, akkor ez az","Hát nem furcsa, hogy minden jobban hangzik egy idegen nyelven?","Ki korán kel, a féreg","Nem tudom, hogy a legjobb dolog a svájci, de a zászlót egy nagy plusz"
Icelandic,is,Ekki lesa næstu setningu,Ég get ekki staðist það þegar setning endar ekki hvernig þú hugsar og það kolkrabba,"Sumir eru eins og ský, þegar þeir fara í burtu, daginn fær bjartari","Ef þú stara á þetta og heilablóðfall hökuna, getur þú birtist greindur og menntaður","Ef þú varst að leita að merki, þetta er það",Er það ekki skrýtið að allt hljómar betur á erlendu tungumáli?,The morgunhani fær orm,"Ég veit ekki það besta við Sviss, en fáninn þeirra er stór plús"
Indonesian,id,Jangan membaca kalimat berikutnya,Saya tidak tahan ketika kalimat tidak berakhir seperti yang Anda pikir itu gurita,"Beberapa orang seperti awan, ketika mereka pergi, hari mendapat lebih cerah","Jika Anda menatap ini dan stroke dagu Anda, Anda mungkin muncul cerdas dan berbudaya","Jika Anda sedang mencari tanda, ini adalah itu",Bukankah aneh bahwa segala sesuatu terdengar lebih baik dalam bahasa asing?,Burung awal mendapatkan cacing,"Saya tidak tahu hal terbaik tentang Swiss, tetapi bendera mereka adalah plus besar"
Italian,it,Non leggere la prossima frase,Non sopporto quando una frase non finisce il modo in cui si pensa che il polpo,"Alcune persone sono come le nuvole, quando vanno via, il giorno diventa più brillante","Se guardi questo e ictus il mento, si può apparire intelligente e colto","Se stavate cercando un segno, questo è vero",Non è strano che tutto suona meglio in una lingua straniera?,L&#39;early bird ottiene il worm,"Non so la cosa migliore sulla Svizzera, ma la loro bandiera è un grande vantaggio"
Japanese,ja,次の文章を読んではいけません,文章は、あなたがそれタコ考える方法を終了していないとき、私はそれを我慢できません,一部の人々は、彼らが離れて行くとき、日が明るくなります、雲のようなものです,あなたがあなたのあごをこの凝視とストロークの場合は、インテリジェント培養表示されることがあります,あなたが看板を探していた場合、これはそれであります,それはすべてが外国語でより良い音ということ奇妙ではないですか？,早起きは、ワームを取得します,私はスイスについての最もよい事を知らないが、そのフラグは大きなプラスです
Khmer,km,កុំអានជាទោសក្រោយ,ខ្ញុំមិនអាចឈរវានៅពេលដែលការកាត់ទោសមិនបានបញ្ចប់ជាវិធីដែលអ្នកគិតថាវាតីយាវហឺនេះ,"មនុស្សខ្លះគឺដូចពពក, នៅពេលដែលពួកគេទៅឆ្ងាយ, ថ្ងៃនេះទទួលបានត្រចេះត្រចង់",ប្រសិនបើអ្នកសម្លឹងមើលនេះនិងជំងឺដាច់សរសៃឈាមខួរក្បាលចង្ការបស់អ្នកអ្នកអាចបង្ហាញឆ្លាតវៃនិងវប្បធ,ប្រសិនបើអ្នកត្រូវបានគេសម្លឹងមើលទីសំគាល់នេះគឺវា,តើវាមិនចំលែកដែលអ្វីគ្រប់យ៉ាងសំឡេងល្អប្រសើរជាងមុននៅក្នុងភាសាបរទេស?,បក្សីនៅដើមទទួលបានដង្កូវ,ខ្ញុំមិនដឹងថាអ្វីដែលល្អបំផុតអំពីស្វីសប៉ុន្តែទង់ជាតិរបស់ពួកគេគឺជាការបូកធំ
Korean,ko,다음 문장을 읽지 않는다,문장은 당신이 문어 생각하는 방식을 종료하지 않을 때 나는 그것을 참을 수 없어,"어떤 사람들은 멀리 갈 때, 날이 밝아 지지만, 구름처럼","이 응시하고있는 경우 뇌졸중 턱, 당신은 지적이고 교양 나타날 수 있습니다","당신이 기호를 찾고 있다면,이 그것을이다",그것은 모든 외국어에 더 나은 소리를하는 것이 이상하지 않아?,일찍 일어나는 새가 벌레를 가져옵니다,"나는 스위스의 가장 좋은 점을 잘 모르겠지만, 자신의 플래그는 큰 플러스"
