Albanian,sq,A nuk e lexoni dënim tjetër,Unë nuk mund ta duroj kur një dënimi nuk ka fund në mënyrën që ju mendoni se oktapod,"Disa njerëz janë si retë, kur ata të shkojnë larg, dita merr ndritshme","Në qoftë se ju ia ngul sytë në këtë dhe goditje mjekër tuaj, ju mund të duket i zgjuar dhe të kulturuar","Nëse ju jeni duke kërkuar për një shenjë, kjo është ajo",A nuk është e çuditshme se çdo gjë tingëllon më mirë në gjuhë të huaj?,Zogu në fillim merr rra,"Unë nuk e di gjëja më e mirë për Zvicrën, por flamuri i tyre është një plus i madh"
Lao,lo,ບໍ່ໄດ້ອ່ານປະໂຫຍກຕໍ່ໄປ,ຂ້າພະເຈົ້າບໍ່ສາມາດຢືນມັນໃນເວລາທີ່ປະໂຫຍກທີ່ບໍ່ໄດ້ສິ້ນສຸດວິທີທີ່ທ່ານຄິດວ່າມັນ octopus,"ບາງຄົນເປັນຄືກັນຟັງ, ໃນເວລາທີ່ພວກເຂົາເຈົ້າຈະຫາຍໄປ, ມື້ໄດ້ຮັບ brighter","ຖ້າຫາກວ່າທ່ານ stare ຢູ່ທີ່ນີ້ແລະເສັ້ນເລືອດຕັນໃນ chin ຂອງທ່ານ, ທ່ານອາດຈະປະກົດວ່າທາງແລະວັດທະນະທໍາ","ຖ້າຫາກວ່າທ່ານໄດ້ຮັບການຊອກຫາສໍາລັບອາການ, ນີ້ມັນເປັນ",ບໍ່ແມ່ນມັນແປກທີ່ທຸກສິ່ງທຸກຢ່າງສຽງທີ່ດີກວ່າໃນພາສາຕ່າງປະເທດ?,ນົກຊະນິດນີ້ກ່ອນໄດ້ຮັບຫນອນ,"ຂ້າພະເຈົ້າບໍ່ຮູ້ວ່າສິ່ງທີ່ດີທີ່ສຸດກ່ຽວກັບສະວິດເຊີແລນ, ແຕ່ທຸງຊາດຂອງເຂົາເຈົ້າແມ່ນເປັນບວກໃຫຍ່"
Latvian,lv,Nelasa nākamo teikumu,"Es nevaru ciest, ja teikums nebeidzas, kā jūs domājat, ka astoņkājis","Daži cilvēki ir kā mākoņi, kad viņi iet prom, diena kļūst spilgtāks","Ja jūs skatās uz šo un insults jūsu zoda, Jums var parādīties inteliģents un kulturāls","Ja jūs meklējat par zīmi, tas ir tas","Vai nav tā dīvaini, ka viss izklausās labāk svešvalodā?",Early Bird izpaužas tārps,"Es nezinu, vislabāk par Šveici, bet to karogu ir liels plus"
Lithuanian,lt,Negalima skaityti kitą sakinį,"Negaliu pakęsti, kai sakinys nesibaigia, kaip jūs manote, kad aštuonkojai","Kai kurie žmonės yra kaip debesys, kai jie išnyksta, ty kitą dieną tampa šviesesnis","Jei spoksojimas tai ir insulto jūsų smakras, jums gali pasirodyti protingas ir kultūringas","Jei ieškote ženklas, tai ją","Ar ne keista, kad viskas skamba geriau užsienio kalba?",Early Bird gauna širdys,"Aš nežinau, geriausias dalykas, apie Šveicariją, tačiau jų vėliava yra didelis pliusas"
Macedonian,mk,Не ги читаат следната реченица,"Не можам да го издржи, кога една реченица не завршува начинот на кој го октопод мислите","Некои луѓе се како облаците, кога тие одат далеку, еден ден добива посветла","Ако гледаш во овој и мозочен удар брадата, може да се појави интелигентен и образован","Ако сте биле во потрага по знак, тоа е тоа",Зарем тоа не е чудно дека сè звучи подобро на странски јазик?,На почетокот на птица добива црв,"Не знам, најдоброто нешто за Швајцарија, но нивното знаме е голем плус"
Malayalam,ml,അടുത്ത വാക്യം വായിക്കുന്നില്ല,ഒരു വാചകം നിങ്ങൾ അതു നീരാളി കരുതുന്നു വഴി അവസാനിക്കില്ല വരുമ്പോൾ ഞാൻ ഇത് സഹിക്കാൻ കഴിയില്ല,"ചില ആളുകൾ അവർ പോകുമ്പോൾ, ദിവസം പകിട്ടാർന്ന ലഭിക്കുന്നു, മേഘങ്ങൾ പോലെയാണ്","ഈ ഉറ്റുനോക്കുന്നു തലോടാൻ നിങ്ങളുടെ കവിൾ, നിങ്ങൾ ബുദ്ധിയുള്ള സംസ്കാരസമ്പന്നയും ദൃശ്യമാകാം",നിങ്ങൾ അടയാളം അന്വേഷിക്കുന്നു എങ്കിൽ ഇത് അത്,അത് ഒരു വിദേശ ഭാഷയിൽ എല്ലാം മെച്ചപ്പെട്ട തോന്നുന്ന അങ്ങനെ ഉണ്ടോ?,ആദ്യകാല പക്ഷി ഇരയെ ലഭിക്കുന്നു,"ഞാൻ സ്വിറ്റ്സർലൻഡ് കുറിച്ച് മികച്ച കാര്യം അറിയില്ല, എന്നാൽ അവരുടെ പതാക വലിയ പ്ലസ് ആണ്"
Mandarin,zho,,,,,,,,
Mongolian,mn,дараагийн өгүүлбэрийг уншиж чадахгүй байна,өгүүлбэр та наймалж бодож замыг төгсгөл биш юм бол би зогсож чадахгүй,"Зарим хүмүүс хол явах үед, өдөр гэрэл гэгээтэй авдаг, үүл шиг байна","Хэрэв та энэ ширтээд бол цус харвалт таны эрүү, та ухаалаг, соёлтой гарч ирэх болно","Та тэмдэг хайж байсан бол, энэ тэр юм",бүх гадаад хэл сайн сонсогдож гэсэн үг биш энэ нь сонин юм бэ?,эрт шувуу өт авдаг,"Би Швейцарьт тухай хамгийн сайн зүйл мэдэхгүй байна, гэхдээ тэдний туг том нэмэх юм"
Montenegrin,,,,,,,,,
Nepali,ne,अर्को वाक्य पढ्न नगर्नुहोस्,एक वाक्य तपाईं यसलाई अक्टोपस लाग्छ बाटो अन्त गर्दा गर्दैन म यसलाई खडा गर्न सक्दैन,"केही मानिसहरू टाढा जानु हुँदा, दिन brighter हुन्छ, बादल जस्तै हो","यो तपाईं ताक र भने स्ट्रोक आफ्नो चिउँडो, तपाईं बुद्धिमान र cultured देखा पर्न सक्छ","तपाईं एक साइन लागि देख थिए भने, यो यो छ",छैन यो सबै विदेशी भाषामा राम्रो सुनिन्छ कि अजीब छ?,प्रारम्भिक बर्ड को कृमि हुन्छ,"म स्विट्जरल्याण्ड बारेमा सबै भन्दा राम्रो कुरा थाहा छैन, तर आफ्नो झण्डा ठूलो प्लस छ"
Norwegian,no,Ikke les neste setning,Jeg kan ikke stå det når en setning slutter ikke slik du tror det blekksprut,"Noen mennesker er som skyer, når de går bort, blir lysere dag","Hvis du stirrer på dette og strøk haken din, kan du vises intelligent og kultivert","Hvis du var på utkikk etter et tegn, er dette det",Er det ikke rart at alt høres bedre ut på et fremmed språk?,Early bird får ormen,"Jeg vet ikke det beste om Sveits, men deres flagg er et stort pluss"
Pashto,ps,آیا په راتلونکو سزا نه پاتې برخه,زه دا نشم منلای چې يوه جمله نه په لاره کې ستاسو په اند د octopus پای ته نه رسیږي,يو شمېر خلکو په شان د وريځو دي، کله چې تلل، د ورځې تر لاسه روښانه,که تاسو په دې حيرانې او سکتې ستاسو د زنې، تاسو هوښيار او فرهنګي ښکاري,که تاسو د يوې نښې په لټه کې وو، دا دا,دا نه ده چې دا weird چې هر څه په یوه بهرني ژبې ښه غږونو؟,په لومړيو کې د مارغه په ​​چينجي لاسه,زه د په اړه سویس ښه خبره نه پوهيږي، خو خپل بيرغ يوه لويه جمع
Persian,fa,جمله بعدی رانخوانید,من می توانم آن را تحمل کنم که یک جمله می کند راه شما آن را هشت پا فکر می کنم به پایان نمی,برخی از افراد مانند ابر، زمانی که آنها به دور، روز روشن تر می شود,اگر شما در این خیره و سکته مغزی چانه خود را، شما ممکن است هوشمند و کشت به نظر می رسد,اگر شما برای یک علامت به دنبال شدند، این است که آن,آیا آن را نمی عجیب و غریب که همه چیز برای تلفن های موبایل در یک زبان خارجی بهتر است؟,پرنده زود می شود این کرم,من نمی دانم بهترین چیز در مورد سوئیس نیست، اما پرچم خود را به همراه بزرگ است
Polish,pl,Nie czytaj następnego zdania,"Nie mogę tego znieść, gdy wyrok nie kończy się tak, jak to ośmiornica myślenia","Niektórzy ludzie są jak chmury, kiedy odchodzą, dzień staje się jaśniejszy","Jeśli patrzeć na to i udar podbródek, może pojawić inteligentny i kulturalny","Jeśli szukałeś na znak, to jest to","Czy to nie dziwne, że wszystko brzmi lepiej w języku obcym?",Rano wstaje robaka,"Nie wiem, że najlepszą rzeczą w Szwajcarii, ale ich flaga jest duży plus"
Portuguese,pt,Não leia a próxima sentença,Eu não aguento quando uma sentença não termina da maneira que você acha que o polvo,"Algumas pessoas são como nuvens, quando eles vão embora, o dia fica mais brilhante","Se você olhar para isso e acidente vascular cerebral o queixo, você pode aparecer inteligente e culta","Se você estava procurando um sinal, é isso",Não é estranho que tudo soa melhor em uma língua estrangeira?,O pássaro madrugador recebe o worm,"Eu não sei a melhor coisa sobre a Suíça, mas sua bandeira é uma grande vantagem"
Romanian,ro,Nu citi următoarea frază,Nu pot sta în picioare când o propoziție nu se termină așa cum o caracatiță crezi,"Unii oameni sunt ca niște nori, atunci când merg departe, ziua devine mai luminos","În cazul în care te uiți la asta și accident vascular cerebral bărbie, este posibil să apară inteligent și cultivat","Dacă ați fost în căutarea unui semn, acest lucru este",Nu e ciudat că totul sună mai bine într-o limbă străină?,Pasărea timpurie devine vierme,"Nu știu cel mai bun lucru despre Elveția, dar steagul lor este un mare plus"
Russian,ru,Не читай следующее предложение,"Я терпеть не могу, когда предложение не заканчивается, как вы думаете, что осьминог","Некоторые люди, как облака, когда они уходят, на следующий день становится ярче","Если вы смотрите на это и удар ваш подбородок, вы можете казаться умным и культивируют","Если Вы искали знак, это его","Разве это не странно, что все звучит лучше на иностранном языке?","Кто рано встает, тому Бог дает","Я не знаю, что лучше всего о Швейцарии, но их флаг является большим плюсом"
Sango,sg,,,,,,,,
Serbian,sr,Не читају следећу реченицу,Ја не могу да поднесем када реченица не завршава онако како је хоботница мисле,"Неки људи су као облаци, кад одем, дан постаје светлија","Уколико се загледате у ово и можданог удара браду, можете изгледати интелигентан и културан","Ако сте у потрази за знак, то је то",Није ли чудно да је све боље звучи на страном језику?,"Ко рано рани, две среће граби","Ја не знам која је најбоља ствар о Швајцарској, али је њихова застава је велики плус"
Sinhalese,,,,,,,,,
Slovak,sk,Nečítajte nasledujúcu vetu,"Nemôžem vystáť, keď trest nekončí tak, ako si to myslieť chobotnice","Niektorí ľudia sú ako mraky, keď idú preč, ten deň bude svetlejší","Ak sa pozeráme na to a mŕtvice bradu, môže sa objaviť inteligentný a kultivovaný","Ak ste hľadali znamenie, to je ono","Nie je to divné, že všetko, čo znie lepšie v cudzom jazyku?",Ranné vtáča dostane červa,"Neviem, najlepšia vec, o Švajčiarsku, ale ich vlajka je veľké plus"
Slovenian,sl,Ne beri naslednji stavek,"Ne morem stati, ko kazen ne konča tako, kot si je hobotnica razmislek","Nekateri ljudje so kot oblaki, ko gredo proč, dan postane svetlejša","Če strmim v to in kap vaš brado, se vam zdi, inteligentna in kultivirani","Če ste iskali za znamenje, to je to","Ali ni čudno, da je vse, kar zveni bolje v tujem jeziku?",Zgodnja ptica dobi črva,"Ne vem, najboljša stvar v Švici, vendar je njihova zastava je velik plus"
Somali,so,Ha akhriyo jumlada soo socda,Anigu taas ma istaagi kara marka xukunka uusan ku dhamaan sida aad u carsaanyo qabaa,"Dadka qaar waa sida daruuraha, marka ay tagaan, maalinta helo dhalaal","Haddii aad indhuhu at this iyo stroke aad garka, aad u muuqan kara caqli iyo cultured","Haddii aad raadinayso calaamad, tani waa",War sow ma aha cajiib ah in wax walba oo u muuqataa wanaagsan ee luqadda qalaad dhexdiis?,shimbir hore uu dixiri,"Anigu garan maayo waxa ugu fiican oo ku saabsan Switzerland, laakiin ay calanka waa lagu daray weyn"
Spanish,es,No leas la siguiente oración,No puedo soportar que una sentencia no termina la forma que considera que el pulpo,"Algunas personas son como las nubes, cuando se van, el día se hace más brillante","Si usted mira en este y los accidentes cerebrovasculares de la barbilla, que puede parecer inteligente y culto","Si estabas buscando una señal, esto es él",¿No es extraño que todo suena mejor en un idioma extranjero?,El pájaro temprano consigue el gusano,"No sé lo mejor de Suiza, pero su bandera es una gran ventaja"
Swati,ss,,,,,,,,
Swedish,sv,Inte läsa nästa mening,Jag kan inte stå ut med det när en mening slutar inte som du tror att det bläckfisk,"Vissa människor är som moln, när de går bort, blir dagen ljusare","Om du stirrar på detta och stroke hakan, kan du verkar intelligent och odlades","Om du letar efter ett tecken, är det",Är det inte konstigt att allt låter bättre på ett främmande språk?,Den tidiga fågeln får masken,"Jag vet inte det bästa Schweiz, men deras flagg är ett stort plus"
Tajik,tg,Оё ҳукми навбатии хонда намешавад,"Ман аз он дар канор нест, вақте ки ҷазо тавр роҳи шумо онро ҳаштпо фикр тамом намекунад","Баъзе одамон ба монанди абрҳо ҳастанд, вақте ки онҳо бираванд, рӯзи равшантар меорад","Агар шумо дар ин хира ва зуд хушӯъашон худ, шумо метавонед соҳибақл ва фарњангиро пайдо","Агар шумо ибрате менигаристанд, ин аст, ки","Оё на он аст, ки ҳама чиз цалатӣ садо дар як забони хориҷӣ беҳтар?",Дар парранда аввали меорад кирми,"Ман намедонам, беҳтарин чизе дар бораи Швейтсария нест, балки парчами худ плюс бузург аст"
Tasmanian,,,,,,,,,
Thai,th,ไม่ได้อ่านประโยคต่อไป,ฉันไม่สามารถยืนได้เมื่อประโยคไม่ได้จบแบบที่คุณคิดว่ามันปลาหมึก,บางคนเป็นเหมือนเมฆเมื่อพวกเขาหายไปวันที่ได้รับความสว่าง,ถ้าคุณจ้องมองที่นี้และโรคหลอดเลือดสมองคางของคุณคุณอาจปรากฏที่ชาญฉลาดและการเพาะเลี้ยง,หากคุณกำลังมองหาสัญลักษณ์นี้มันเป็น,มันไม่แปลกที่ทุกอย่างเสียงดีในภาษาต่างประเทศ?,นกในช่วงต้นได้รับหนอน,ผมไม่ทราบว่าสิ่งที่ดีที่สุดเกี่ยวกับวิตเซอร์แลนด์ แต่ธงของพวกเขาเป็นบวกใหญ่
Turkish,tr,Bir sonraki cümleyi okumayın,Bir cümle bunu ahtapot düşündüğünüz şekilde bitmiyor ben onu duramaz,"Bazı insanlar onlar gidince, gün parlak olur, bulutlar gibidir","Bu bakıyorum ve eğer inme çene, zeki ve kültürlü görünebilir","Eğer bir işaret aradılar, bu is it",her şeyin bir yabancı dilde iyi sesler tuhaf değil mi?,Erken kalkan yol alır,"Ben İsviçre hakkında en iyi şey bilmiyorum, ama onların bayrağı büyük bir artı"
Turkmen,tk,,,,,,,,
Ukrainian,uk,Чи не прочитати наступне речення,"Я терпіти не можу, коли пропозиція не закінчується, як ви думаєте, що восьминіг","Деякі люди, як хмари, коли вони йдуть, на наступний день стає яскравішим","Якщо ви дивитеся на це і удар ваш підборіддя, ви можете здаватися розумним і культивують","Якщо Ви шукали знак, це його","Хіба це не дивно, що все звучить краще на іноземній мові?",Рання пташка отримує хробака,"Я не знаю, що краще за все про Швейцарію, але їх прапор є великим плюсом"
Urdu,ur,اگلے جملے پڑھ نہ کریں,ایک جملہ کے آپ یہ سوچتے ہیں آکٹپس ختم نہیں ہوتی جب میں اسے برداشت نہیں کر سکتا,کچھ لوگ، بادلوں کی طرح ہیں وہ دور جانا جب، دن روشن ہو جاتا ہے,آپ کو اس گھورتے اور تو فالج اپنی ٹھوڑی، آپ کو ذہین اور مہذب ظاہر ہو سکتا ہے,آپ کو ایک نشانی کے لئے تلاش کر رہے تھے، یہ بات ہے,یہ سب کچھ ایک غیر ملکی زبان میں بہتر لگتا ہے کہ عجیب نہیں ہے؟,ابتدائی پرندوں کیڑے ہو جاتا ہے,میں نے سوئٹزرلینڈ کے بارے میں سب سے اچھی بات نہیں جانتے، لیکن ان کے پرچم ایک بڑا پلس ہے
Uzbek,uz,keyingi hukmni o&#39;qimaymiz,"bir jumla Agar u sakkizoyoq deb o&#39;ylayman yo&#39;l tugamaydi, men uni turolmaydi","Ba&#39;zi odamlar, ular yo&#39;qol qachon, bir kun porloq oladi, bulutlar kabidir","Agar bu qarayman va agar zarba sizning Chin, siz aqlli va madaniyatli paydo bo&#39;lishi mumkin","Agar oyat qidirayotgan bo&#39;lsa, bu u",Bu har bir narsani chet tilida yaxshiroq tovushlar deb g&#39;alati emasmi?,erta qush chuvalchangni oladi,"Men Shveytsariya haqida eng yaxshi narsa bilmayman, lekin ularning bayrog&#39;i katta ortiqcha"
Vietnamese,vi,Đừng đọc câu tiếp theo,Tôi không thể chịu đựng được khi một câu không kết thúc theo cách mà bạn nghĩ rằng nó bạch tuộc,"Một số người cũng giống như những đám mây, khi họ đi xa, những ngày được tươi sáng hơn","Nếu bạn nhìn chằm chằm này và đột quỵ cằm của bạn, bạn có thể xuất hiện thông minh và có văn hóa","Nếu bạn đang tìm kiếm một dấu hiệu, đây là nó",Không phải là nó lạ mà tất cả mọi thứ có vẻ tốt hơn trong một ngôn ngữ nước ngoài?,Những con chim đầu giúp sâu,"Tôi không biết điều tốt nhất về Thụy Sĩ, nhưng lá cờ của họ là một cộng lớn"
Zulu,zu,Musa ukufunda lomusho olandelayo,I cha bekezelela it uma umusho akugcini indlela ocabanga ukuthi octopus,"Abanye abantu bafana amafu, lapho uhambe, usuku uthola licace","Uma ngizibuka ngalesi nonhlangothi chin yakho, ungase sibonakale sihlakaniphile futhi cultured","Uma babefuna isibonakaliso, yilokhu",Aint it uyinqaba ukuthi konke umsindo kangcono ngolimi okungelona lwakubo?,Le nyoni zakuqala uthola worm,"Angimazi into engcono mayelana Switzerland, kodwa ukumaka kwabo is a plus enkulu"
